2018-06-27 20:31:59.292 - INFO	| LWJGL version: 3.1.6 build 14!
2018-06-27 20:32:00.721 - INFO	| LED_magnetG_#FF0000	Adding UI binding:UIEventBus::updateLabel to element "label"
2018-06-27 20:32:00.721 - INFO	| LED_liteE_#00FF00	Adding UI binding:UIEventBus::updateLabel to element "label"
2018-06-27 20:32:00.721 - INFO	| LED_liteT_#00FF00	Adding UI binding:UIEventBus::updateLabel to element "label"
2018-06-27 20:32:00.721 - INFO	| LED_liteI_#00FF00	Adding UI binding:UIEventBus::updateLabel to element "label"
2018-06-27 20:32:00.721 - INFO	| LED_liteL_#00FF00	Adding UI binding:UIEventBus::updateLabel to element "label"
2018-06-27 20:32:00.721 - INFO	| LED_lock_#00FF00	Adding UI binding:UIEventBus::updateLabel to element "label"
2018-06-27 20:32:00.721 - INFO	| LED_centreLock_#00FF00	Adding UI binding:UIEventBus::updateLabel to element "label"
2018-06-27 20:32:00.736 - INFO	| LED_timeWarp_#FFFFFF	Adding UI binding:UIEventBus::updateLabel to element "label"
2018-06-27 20:32:00.736 - INFO	| LED_videoMode_#FFA500	Adding UI binding:UIEventBus::updateLabel to element "label"
2018-06-27 20:32:00.736 - INFO	| LED_scanner_#FFFF00	Adding UI binding:UIEventBus::updateLabel to element "label"
2018-06-27 20:32:00.736 - INFO	| LED_extraBall_#FF0000	Adding UI binding:UIEventBus::updateLabel to element "label"
2018-06-27 20:32:00.736 - INFO	| LED_upperArrow_#FFFFFF	Adding UI binding:UIEventBus::updateLabel to element "label"
2018-06-27 20:32:00.736 - INFO	| LED_centreArrow_#FFFFFF	Adding UI binding:UIEventBus::updateLabel to element "label"
2018-06-27 20:32:00.752 - INFO	| LED_warpA_#FFFFFF	Adding UI binding:UIEventBus::updateLabel to element "label"
2018-06-27 20:32:00.752 - INFO	| LED_lockArrow_#FFFFFF	Adding UI binding:UIEventBus::updateLabel to element "label"
2018-06-27 20:32:00.752 - INFO	| LED_warpR_#FFFFFF	Adding UI binding:UIEventBus::updateLabel to element "label"
